regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_seq,H_seq_se,varentropy_seq,mean_length,confidence,greedy_length,cache_seq_length,kl_seq,kl_seq_se,n_kl_samples,gold,predicted_answer
sampled,5,compressed,0.75,compressed@0.75,50,12.41812801361084,3.6560269696933307,668.32666015625,13.039999961853027,0.5168041513965531,5,2774,9.31083869934082,1.6878517970973765,50,Definition of something,Type: Definition of something
sampled,5,compressed,0.95,compressed@0.95,50,47.24553680419922,6.5215133764142506,2126.5068359375,34.68000030517578,0.38895413712186794,5,554,13.448772430419922,2.3442755921089593,50,Definition of something,Type: Definition of something
sampled,6,full,,full,50,13.441243171691895,3.510182419082287,616.0690307617188,13.84000015258789,0.5100858260193257,4,2800,,,0,Other location,Type: Other location
sampled,6,compressed,0.25,compressed@0.25,50,31.765609741210938,5.793388228659352,1678.1673583984375,22.459999084472656,0.3751867322578661,4,2100,4.001978397369385,0.8696388582477292,50,Other location,Type: Other location
sampled,6,compressed,0.5,compressed@0.5,50,44.50105285644531,7.420869010769561,2753.46484375,25.479999542236328,0.2980220176567207,4,1400,6.686716079711914,1.139171671508719,50,Other location,Type: Other location
sampled,6,compressed,0.75,compressed@0.75,50,52.44742965698242,7.528059490167436,2833.583984375,29.5,0.29161180392773484,5,700,20.946500778198242,2.3830066519263013,50,Other location,Type: Description of something
sampled,6,compressed,0.95,compressed@0.95,50,67.3156509399414,5.434848716055144,1476.8790283203125,42.02000045776367,0.32942210507115294,5,140,38.00581741333008,2.6603345204583175,50,Other location,Type: Definition of something
sampled,7,full,,full,50,7.241024494171143,2.7774912056496124,385.7228698730469,7.859999656677246,0.5280513083296071,5,5939,,,0,Definition of something,Type: Description of something
sampled,7,compressed,0.25,compressed@0.25,50,16.733436584472656,4.560664763599436,1039.983154296875,12.920000076293945,0.4074916419587556,5,4454,4.62550163269043,0.775902032429496,50,Definition of something,Type: Definition of something
sampled,7,compressed,0.5,compressed@0.5,50,8.288688659667969,3.080920466816948,474.6035461425781,8.979999542236328,0.5274050885429725,5,2969,4.284063816070557,0.8032271620789272,50,Definition of something,Type: Definition of something
sampled,7,compressed,0.75,compressed@0.75,50,16.841360092163086,4.168098272940625,868.6521606445312,14.859999656677246,0.4558606660293721,4,1484,3.8647239208221436,0.7676204912369747,50,Definition of something,Type: Equivalent term
sampled,7,compressed,0.95,compressed@0.95,50,31.108821868896484,5.180415672797768,1341.8353271484375,24.85999870300293,0.42005188249519276,4,296,29.136381149291992,1.2214350305831034,50,Definition of something,Type: Equivalent term
sampled,8,full,,full,50,17.34363555908203,6.837799567820594,2337.775146484375,8.519999504089355,0.2439000399411631,3,6335,,,0,Currency name,Type: Currency
sampled,8,compressed,0.25,compressed@0.25,50,33.304649353027344,7.310339891956974,2672.053466796875,18.100000381469727,0.2793148451690035,3,4751,3.2062671184539795,0.9233354179643403,50,Currency name,Type: Currency
sampled,8,compressed,0.5,compressed@0.5,50,19.831966400146484,5.419017168298372,1468.287353515625,13.119999885559082,0.35072621595420533,3,3167,3.9090349674224854,1.2501376267009003,50,Currency name,Type: Currency
sampled,8,compressed,0.75,compressed@0.75,50,16.138010025024414,4.667690172126761,1089.3665771484375,11.639999389648438,0.3825109479820037,3,1583,4.958059310913086,1.7076790997476206,50,Currency name,Type: Currency
sampled,8,compressed,0.95,compressed@0.95,50,54.04985046386719,9.943679289503459,4943.837890625,24.8799991607666,0.221837978226126,3,316,9.334102630615234,2.003219530847663,50,Currency name,Type: Country
sampled,9,full,,full,50,16.9716796875,3.847028264107732,739.9813232421875,14.119999885559082,0.4346842321996805,5,3485,,,0,Description of something,Type: Description of something
sampled,9,compressed,0.25,compressed@0.25,50,42.295833587646484,6.037297405374154,1822.447998046875,35.779998779296875,0.4407069933138951,5,2613,5.810347557067871,0.8403554945246293,50,Description of something,Type: Description of something
sampled,9,compressed,0.5,compressed@0.5,50,34.92855453491211,5.298506846715167,1403.708740234375,31.739999771118164,0.46636823534506594,5,1742,6.357344627380371,0.9598018727892573,50,Description of something,Type: Description of something
sampled,9,compressed,0.75,compressed@0.75,50,49.50787353515625,6.063754300013936,1838.455810546875,40.07999801635742,0.4247758201332556,5,871,8.278395652770996,1.2378931519183738,50,Description of something,Type: Description of something
sampled,9,compressed,0.95,compressed@0.95,50,71.21585083007812,5.916359981414882,1750.165771484375,56.73999786376953,0.41895695261904253,64,174,35.30712890625,1.4801125066110896,50,Description of something,"Type: Effect of volcanoes on the climate is a topic of study in the field of geology and climate science. However, the question is not a specific example or a fact about a particular volcano or event, but rather a general inquiry about the impact of volcanoes on the climate.

Classification: The question is a"
sampled,10,full,,full,50,10.581923484802246,3.6788598790611236,676.7005004882812,7.659999847412109,0.38383224417053846,5,7178,,,0,Definition of something,Type: Definition of something
sampled,10,compressed,0.25,compressed@0.25,50,14.645308494567871,3.7324315026367194,696.55224609375,12.699999809265137,0.4496349490608689,3,5383,2.0930135250091553,0.5004228901641532,50,Definition of something,Type: Event
sampled,10,compressed,0.5,compressed@0.5,50,18.091259002685547,3.6097667874484114,651.5208129882812,12.960000038146973,0.37999952536133585,3,3589,2.195746660232544,0.5060946002327683,50,Definition of something,Type: Holiday
sampled,10,compressed,0.75,compressed@0.75,50,17.861759185791016,3.6534384221836147,667.380615234375,15.359999656677246,0.446621628689006,3,1794,5.377777099609375,0.6214372330486327,50,Definition of something,Type: Holiday
sampled,10,compressed,0.95,compressed@0.95,50,27.57845115661621,3.8053732377410268,724.0432739257812,26.119998931884766,0.48101819978965116,3,358,9.030196189880371,1.454491544938256,50,Definition of something,Type: Holiday
sampled,11,full,,full,50,10.134719848632812,3.2713022570577683,535.0709228515625,8.300000190734863,0.42897023162364945,3,7099,,,0,Date,Type: Date
sampled,11,compressed,0.25,compressed@0.25,50,4.276808261871338,1.240596096365133,76.95393371582031,6.559999942779541,0.6364184270353392,3,5324,3.2157278060913086,1.408879702672149,50,Date,Type: Event
sampled,11,compressed,0.5,compressed@0.5,50,17.699176788330078,3.1155867012753893,485.3440246582031,16.100000381469727,0.4667339354524698,3,3549,3.639324188232422,1.3883789577673287,50,Date,Type: Event
sampled,11,compressed,0.75,compressed@0.75,50,23.09694480895996,4.021634152899245,808.6770629882812,20.8799991607666,0.4645238046211849,27,1774,4.867493629455566,1.3915943119328658,50,Date,"Type: Event 

The Boston Tea Party was a pivotal event in American history that took place on December 16, 1773."
sampled,11,compressed,0.95,compressed@0.95,50,30.46406364440918,3.808670111413973,725.2984008789062,33.07999801635742,0.5281717462948441,43,354,13.570076942443848,2.2296037344111173,50,Date,"Type: Historical event

This question is asking for a specific date in history, which is a type of factual information. The correct answer would be a date, such as ""December 16, 1773""."
sampled,12,full,,full,50,5.215410232543945,3.0277618662875905,458.3670959472656,7.059999942779541,0.5992680360522271,4,6651,,,0,Other location,Type: Other location
sampled,12,compressed,0.25,compressed@0.25,50,4.6043853759765625,1.7458303422682213,152.39617919921875,7.919999599456787,0.6683326121158029,4,4988,1.1946475505828857,0.6285249717685994,50,Other location,Type: Other location
sampled,12,compressed,0.5,compressed@0.5,50,13.504444122314453,3.811502655152476,726.3776245117188,12.619999885559082,0.4762916797387884,4,3325,2.376692533493042,0.7658766975066491,50,Other location,Type: Other location
sampled,12,compressed,0.75,compressed@0.75,50,28.60703468322754,7.093274006607421,2515.726806640625,15.5,0.27823674282466176,4,1662,3.6213696002960205,0.9378562962272242,50,Other location,Type: Other location
sampled,12,compressed,0.95,compressed@0.95,50,61.37699890136719,17.169008803109456,14738.7431640625,37.2599983215332,0.31924534101763385,35,332,10.376959800720215,1.4771545192134818,50,Other location,"Type: Location

This question is asking for a specific location, which is a type of factual information. The answer would be a place on Earth known for its high rainfall."
sampled,13,full,,full,50,9.774795532226562,3.4141756631703024,582.8297729492188,8.699999809265137,0.4589663395854392,3,10344,,,0,Individual,Type: Individual
sampled,13,compressed,0.25,compressed@0.25,50,13.17200756072998,4.037397353813236,815.0288696289062,12.239999771118164,0.4742946724239955,3,7758,4.481658935546875,2.043429306954251,50,Individual,Type: Individual
sampled,13,compressed,0.5,compressed@0.5,50,26.823753356933594,7.795623333901049,3038.587158203125,14.579999923706055,0.27936755417527415,3,5172,5.2694501876831055,2.1328115699402734,50,Individual,Type: Individual
sampled,13,compressed,0.75,compressed@0.75,50,17.41452407836914,4.541881654649728,1031.4344482421875,12.579999923706055,0.3830746853885391,3,2586,6.262587547302246,2.263685457519648,50,Individual,Type: Individual
sampled,13,compressed,0.95,compressed@0.95,50,37.5047607421875,4.766078359583222,1135.775146484375,25.899999618530273,0.3665138735318544,3,517,10.03589916229248,2.4392665623717074,50,Individual,Type: Person
sampled,14,full,,full,50,14.555830001831055,4.464134280355697,996.4247436523438,9.59999942779541,0.3495977036582397,3,7182,,,0,Date,Type: Date
sampled,14,compressed,0.25,compressed@0.25,50,22.90964698791504,5.317969381243535,1414.0399169921875,18.279998779296875,0.419498323032761,3,5386,3.672959566116333,0.7560462361885567,50,Date,Type: Date
sampled,14,compressed,0.5,compressed@0.5,50,19.559782028198242,5.16976425017077,1336.3231201171875,14.5,0.39257753190286415,3,3591,4.928455829620361,1.098614739434678,50,Date,Type: Date
sampled,14,compressed,0.75,compressed@0.75,50,27.305450439453125,6.618809017678331,2190.431640625,18.079999923706055,0.3510486231931589,3,1795,5.572976112365723,1.225888424449476,50,Date,Type: Date
sampled,14,compressed,0.95,compressed@0.95,50,51.07295608520508,4.598716224988094,1057.4095458984375,36.540000915527344,0.3795265493322535,40,359,11.76937484741211,1.1189840913652507,50,Date,"Type: Historical question

This question is asking for a specific date related to a historical figure, Abraham Lincoln. The answer would be a date in the past, which is a characteristic of historical questions."
sampled,15,full,,full,50,9.939863204956055,5.635119586477846,1587.7286376953125,7.179999828338623,0.3830535245999416,3,5826,,,0,Date,Type: Date
sampled,15,compressed,0.25,compressed@0.25,50,3.8451762199401855,2.0529872064205765,210.73782348632812,5.699999809265137,0.6265092243862501,3,4369,1.1994725465774536,0.528269514367023,50,Date,Type: Date
sampled,15,compressed,0.5,compressed@0.5,50,9.57219123840332,3.779443654287956,714.209716796875,8.920000076293945,0.47529146388412785,3,2913,1.8885642290115356,0.7553474526136444,50,Date,Type: Date
sampled,15,compressed,0.75,compressed@0.75,50,12.165084838867188,4.840435105620026,1171.4906005859375,10.960000038146973,0.46330912581217587,3,1456,2.233779191970825,0.8455958090830792,50,Date,Type: Date
sampled,15,compressed,0.95,compressed@0.95,50,44.073646545410156,5.56685025641464,1549.4910888671875,28.69999885559082,0.34491978896337677,20,291,5.707322120666504,1.04570009717763,50,Date,"Type: Date of birth of a historical figure.

Answer: October 14, 1890."
sampled,16,full,,full,50,17.047475814819336,6.762954149491552,2286.87744140625,9.479999542236328,0.2875217431595343,4,6144,,,0,Other entity,Type: Other location
sampled,16,compressed,0.25,compressed@0.25,50,32.72621536254883,6.179234536180433,1909.14697265625,22.260000228881836,0.36093716973067325,4,4608,3.281041145324707,0.9892550939313584,50,Other entity,Type: Other location
sampled,16,compressed,0.5,compressed@0.5,50,38.3310546875,5.776353289422207,1668.3128662109375,24.639999389648438,0.3401767637002783,4,3072,4.988913059234619,1.2391349088237427,50,Other entity,Type: Other location
sampled,16,compressed,0.75,compressed@0.75,50,53.487728118896484,12.574699844206023,7906.15380859375,31.079999923706055,0.30334482778332017,5,1536,8.435985565185547,1.3738269587889562,50,Other entity,Type: Definition of something
sampled,16,compressed,0.95,compressed@0.95,50,69.47771453857422,6.124025352938825,1875.184326171875,43.2599983215332,0.32849655111085013,51,307,13.190901756286621,1.6241765679647584,50,Other entity,"Type: Historical Location

This question is asking for a specific historical location, which is a monastery that was raided by Vikings in the late eighth century. The answer would be a specific name of a monastery, such as Lindisfarne or Iona."
sampled,17,full,,full,50,8.519560813903809,5.779551904329932,1670.1610107421875,8.639999389648438,0.5048545289546068,6,7272,,,0,Number of something,"Type: Distance, linear measure"
sampled,17,compressed,0.25,compressed@0.25,50,4.563283443450928,1.5895226276583452,126.32910919189453,6.839999675750732,0.6297509350954569,5,5454,7.536384582519531,0.5278183628115772,50,Number of something,Type: Number of something
sampled,17,compressed,0.5,compressed@0.5,50,10.58182144165039,2.9793236864943444,443.8184814453125,7.71999979019165,0.38670295653746045,4,3636,5.164834022521973,0.568588837646666,50,Number of something,Type: Other number
sampled,17,compressed,0.75,compressed@0.75,50,23.212963104248047,6.083710881192292,1850.576904296875,14.119999885559082,0.3199730770725289,6,1818,2.3906326293945312,0.5826879946182739,50,Number of something,"Type: Distance, linear measure"
sampled,17,compressed,0.95,compressed@0.95,50,10.750800132751465,2.120177417744761,224.7576141357422,13.199999809265137,0.5686234218041972,5,363,35.658443450927734,1.1386274514276087,50,Number of something,Type: Number of something
sampled,18,full,,full,50,12.212236404418945,4.007732242130127,803.0958862304688,10.719999313354492,0.4540108770797418,4,2075,,,0,Other location,Type: Other location
sampled,18,compressed,0.25,compressed@0.25,50,10.151750564575195,2.423459411167871,293.65777587890625,9.979999542236328,0.4940710658246817,4,1556,2.9664409160614014,0.7911852393382838,50,Other location,Type: Other location
sampled,18,compressed,0.5,compressed@0.5,50,33.631404876708984,4.691817542857858,1100.6575927734375,25.479999542236328,0.40055884994562374,3,1037,8.435733795166016,2.9953148433415455,50,Other location,Type: Location
sampled,18,compressed,0.75,compressed@0.75,50,31.23433494567871,4.532181477535128,1027.033447265625,23.69999885559082,0.4011171357627251,3,518,13.70287036895752,3.297040132120399,50,Other location,Type: Location
sampled,18,compressed,0.95,compressed@0.95,50,53.39057540893555,6.352507617259797,2017.7176513671875,34.599998474121094,0.3431520107676155,9,103,35.871150970458984,3.35644021516379,50,Other location,"Type: Equivalent term 

Equivalent term: Paris"
sampled,19,full,,full,50,3.561751127243042,0.6438621645495848,20.727924346923828,8.880000114440918,0.7572816649268633,5,3069,,,0,Definition of something,Type: Definition of something
sampled,19,compressed,0.25,compressed@0.25,50,4.635885715484619,1.255483030702072,78.81188201904297,8.819999694824219,0.6946650190196018,5,2301,2.0374155044555664,0.48475923126701154,50,Definition of something,Type: Definition of something
sampled,19,compressed,0.5,compressed@0.5,50,20.03263282775879,4.982174769083025,1241.103271484375,17.31999969482422,0.448562665468428,5,1534,2.9029345512390137,0.6659940028106748,50,Definition of something,Type: Definition of something
sampled,19,compressed,0.75,compressed@0.75,50,31.288602828979492,5.463490327849039,1492.486328125,23.939998626708984,0.404171847278998,5,767,4.776768207550049,0.8873457223823606,50,Definition of something,Type: Definition of something
sampled,19,compressed,0.95,compressed@0.95,50,35.854248046875,5.212415925955665,1358.4639892578125,30.34000015258789,0.44081693369069896,36,153,28.405424118041992,0.995814605494228,50,Definition of something,"Type: Definition 

Explanation: Nepotism is the practice of giving favor or preference to family members or friends in business or professional matters, often resulting in unfair treatment or advantage."
sampled,20,full,,full,50,8.31032657623291,2.8300001337165934,400.4450378417969,7.039999961853027,0.44121565147123853,3,10991,,,0,Other number,Type: Price
sampled,20,compressed,0.25,compressed@0.25,50,13.207765579223633,4.219865593238723,890.36328125,9.559999465942383,0.3838020923895688,3,8243,1.6545987129211426,0.3057613756585427,50,Other number,Type: Price
sampled,20,compressed,0.5,compressed@0.5,50,6.070775032043457,2.839035411951126,403.006103515625,7.539999961853027,0.5723055157848544,3,5495,2.1723039150238037,0.41330471729361884,50,Other number,Type: Price
sampled,20,compressed,0.75,compressed@0.75,50,7.86986780166626,2.4879112018795,309.485107421875,10.579999923706055,0.5971462241924023,3,2747,2.4426779747009277,0.624202066325074,50,Other number,Type: Price
sampled,20,compressed,0.95,compressed@0.95,50,22.3631534576416,4.2985378884587755,923.8713989257812,15.359999656677246,0.36451889227427975,4,549,15.38532543182373,0.4741152705454701,50,Other number,Type: Tax rate
sampled,21,full,,full,50,4.490706920623779,0.7156241204535397,25.605894088745117,8.59999942779541,0.6963211456629834,5,3701,,,0,Definition of something,Type: Definition of something
sampled,21,compressed,0.25,compressed@0.25,50,18.943695068359375,6.0366279051175376,1822.0438232421875,15.859999656677246,0.43695837137066124,5,2775,3.8198204040527344,0.8011569240742962,50,Definition of something,Type: Disease and medicine
sampled,21,compressed,0.5,compressed@0.5,50,14.062417030334473,3.7385944715958264,698.8544311523438,16.779998779296875,0.5594005703257073,5,1850,5.505638122558594,0.8801301374443955,50,Definition of something,Type: Disease and medicine
sampled,21,compressed,0.75,compressed@0.75,50,21.70524787902832,3.6548413084885607,667.8932495117188,26.51999855041504,0.5670515076048036,5,925,5.254634380340576,1.0100088107791747,50,Definition of something,Type: Disease and medicine
sampled,21,compressed,0.95,compressed@0.95,50,47.654354095458984,4.773805223152046,1139.4608154296875,46.79999923706055,0.49371300437747884,64,185,26.006629943847656,2.3487895039336886,50,Definition of something,"Type: Definition of a medical condition

Category: Health and Medicine

Answer: Autism, also known as Autism Spectrum Disorder (ASD), is a neurological and developmental disorder that affects communication, social interaction, and behavior. It is characterized by difficulties with verbal and nonverbal communication, social interactions, and repetitive behaviors."
sampled,22,full,,full,50,9.154651641845703,5.020441855631957,1260.2418212890625,9.59999942779541,0.5163389706068696,6,4835,,,0,"Distance, linear measure","Type: Distance, linear measure"
sampled,22,compressed,0.25,compressed@0.25,50,10.104110717773438,3.7399050320078318,699.344482421875,12.399999618530273,0.5684685080364137,6,3626,1.1805334091186523,0.5473935529792635,50,"Distance, linear measure","Type: Distance, linear measure"
sampled,22,compressed,0.5,compressed@0.5,50,23.18894386291504,4.63535949168859,1074.327880859375,15.75999927520752,0.3606372292251388,5,2417,32.55046844482422,0.6831085331529729,50,"Distance, linear measure",Type: Number of something
sampled,22,compressed,0.75,compressed@0.75,50,21.39801788330078,3.3076167204107287,547.0164184570312,16.959999084472656,0.4170592743460515,5,1208,30.910568237304688,0.9435887887454438,50,"Distance, linear measure",Type: Number of something
sampled,22,compressed,0.95,compressed@0.95,50,68.3314208984375,10.533818770542096,5548.06689453125,39.23999786376953,0.29908517744436663,5,241,44.459251403808594,1.0162869687646592,50,"Distance, linear measure",Type: Definition of something
sampled,23,full,,full,50,2.5379748344421387,0.5382462045807712,14.485448837280273,7.679999828338623,0.7952798475320343,5,5022,,,0,Expression abbreviated,Type: Definition of something
sampled,23,compressed,0.25,compressed@0.25,50,6.406075477600098,1.1554550159765253,66.75381469726562,12.75999927520752,0.7061058807845834,5,3766,2.2140634059906006,0.7136930682830904,50,Expression abbreviated,Type: Definition of something
sampled,23,compressed,0.5,compressed@0.5,50,4.320810317993164,1.23415426477713,76.1568374633789,10.519999504089355,0.7522460677637439,5,2511,2.7369418144226074,0.8549969268208202,50,Expression abbreviated,Type: Definition of something
sampled,23,compressed,0.75,compressed@0.75,50,9.46274185180664,2.160485254104532,233.38482666015625,14.119999885559082,0.6284344345482794,4,1255,7.345091342926025,1.2978448463191536,50,Expression abbreviated,Type: Expression abbreviated
sampled,23,compressed,0.95,compressed@0.95,50,24.585834503173828,4.172529062726451,870.4999389648438,24.84000015258789,0.5035587838164178,18,251,33.15394973754883,0.9341070601145564,50,Expression abbreviated,"Type: Definition

Answer: CPR stands for Cardiopulmonary Resuscitation."
sampled,24,full,,full,50,5.152174949645996,1.7548021097365758,153.96652221679688,8.34000015258789,0.6516789179316567,3,2495,,,0,Date,Type: Date
sampled,24,compressed,0.25,compressed@0.25,50,16.91615104675293,4.313030849347345,930.1117553710938,15.219999313354492,0.4628310941547413,3,1871,1.6820307970046997,0.5924866738410234,50,Date,Type: Date
sampled,24,compressed,0.5,compressed@0.5,50,25.597675323486328,5.312738046137321,1411.25927734375,22.34000015258789,0.4519319548041864,3,1247,2.3662898540496826,0.7089599739688703,50,Date,Type: Date
sampled,24,compressed,0.75,compressed@0.75,50,35.32017135620117,6.010577224711346,1806.3519287109375,25.65999984741211,0.3851605616002082,3,623,3.526336669921875,0.8516295576378163,50,Date,Type: Date
sampled,24,compressed,0.95,compressed@0.95,50,56.092708587646484,5.449036567295062,1484.5999755859375,38.939998626708984,0.36844194705936945,21,124,9.072417259216309,2.0541772477172127,50,Date,"Type: Date

Answer: Susan B. Anthony's birthday is February 15, 1820."
sampled,25,full,,full,50,31.372474670410156,7.407431669972563,2743.502197265625,17.299999237060547,0.28451213107479056,5,8813,,,0,Reason,Type: Organ of body
sampled,25,compressed,0.25,compressed@0.25,50,14.487699508666992,3.140525593109625,493.1450500488281,15.75999927520752,0.5287763955374307,5,6609,5.1264142990112305,0.944956148936598,50,Reason,Type: Organ of body
sampled,25,compressed,0.5,compressed@0.5,50,22.428834915161133,5.383907499292452,1449.322998046875,20.059999465942383,0.46070414521457437,5,4406,13.038908004760742,1.2599032749409897,50,Reason,Type: Definition of something
sampled,25,compressed,0.75,compressed@0.75,50,27.138641357421875,5.603041558567209,1569.7037353515625,21.81999969482422,0.42227338629957256,5,2203,23.667699813842773,2.032381445698694,50,Reason,Type: Definition of something
sampled,25,compressed,0.95,compressed@0.95,50,43.91568374633789,4.964452003132496,1232.2891845703125,36.89999771118164,0.43826427629478615,5,440,32.52854537963867,1.6461659593499849,50,Reason,Type: Definition of something
sampled,26,full,,full,50,7.635921478271484,2.8219344799240775,398.16571044921875,9.380000114440918,0.5687773359555192,5,9978,,,0,Description of something,Type: Definition of something
sampled,26,compressed,0.25,compressed@0.25,50,9.434048652648926,3.4798700909099143,605.4747924804688,10.039999961853027,0.5213606897013304,5,7483,1.9405840635299683,0.7088305833543284,50,Description of something,Type: Definition of something
sampled,26,compressed,0.5,compressed@0.5,50,13.436898231506348,4.453119106355749,991.5134887695312,14.119999885559082,0.5170509308695085,5,4989,2.299053192138672,0.8132243053130871,50,Description of something,Type: Definition of something
sampled,26,compressed,0.75,compressed@0.75,50,13.557534217834473,5.079635832942407,1290.135009765625,13.039999961853027,0.48643258744747386,5,2494,2.754636764526367,0.9406626747672066,50,Description of something,Type: Definition of something
